Address	                                        Delegation    	Slash amount	Compensation
cosmos1xj7tlg9na645j8hxc9t8n7y5vuxew0fetdz2gr	105	0.0105	0.01575
cosmos1uw3rnqswkq60ah62rxyl45mxv4u5f8z07rslf6	105	0.0105	0.01575
cosmos1c8kuzgwl35rqhmjm43j9f0q3r5q38k5zs589cm	104.957458	0.010495746	0.015743619
cosmos1a8nqxelepynqn7a57s8m9g08fvwrumece9jhuq	104.933849	0.010493385	0.015740077
cosmos1jqsjt4gn2vtvez7556u9qmam75tlhq8sl8827v	104.592462	0.010459246	0.015688869
cosmos1kq04xy9wyhn5dq085wr7gud6ds6tvxlgluec60	104.41413	0.010441413	0.01566212
cosmos182rqpr40kaaqgspcg8gw69yknwv8tq90ymjh8e	104.3	0.01043	0.015645
cosmos1xh8ydf9rqxtyg7txh56wrcysadk3htflgnygpj	103.800095	0.01038001	0.015570014
cosmos1g6ce6dd8n7k7ej958rvjjtzewpgrkmqm06cej8	103.000066	0.010300007	0.01545001
cosmos1uffk6suft7trrqfztze5weffv2nupa62sd6tdt	102.7	0.01027	0.015405
cosmos1tnr7wr7uku6jm48ad6x3xjef4c3l2fk490zkhc	102.362099	0.01023621	0.015354315
